start_station,end_station,pre_pandemic_rides,after_reopen_rides,percentage_change
FDR Drive & E 35 St,Cherry St,825,849,2.91
FDR Drive & E 35 St,E 60 St & York Ave,128,113,-11.72
FDR Drive & E 35 St,E 82 St & East End Ave,73,65,-10.96
FDR Drive & E 35 St,East End Ave & E 86 St,54,75,38.89
FDR Drive & E 35 St,Stanton St & Mangin St,307,345,12.38
